index,name,isin,url
4,7IM AAP Balanced Class C Accumulation,GB00B2PB3794,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B2PB379/SelfSelectFund
10,7IM AAP Moderately Cautious Class C Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B2PB216/SelfSelectFund
17,7IM Moderately Adventurous Class C Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/3395639/SelfSelectFund
24,7IM Pathbuilder 3 Class 3C Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BMDPC76/SelfSelectFund
30,7IM Responsible Balanced Class C Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B1LBG00/SelfSelectFund
37,ARGA IM ARGA European Equity Class B Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BV0VHJ7/SelfSelectFund
44,Aberforth UK Small Companies ABERFORTH UK SMALL-UNITS-GBP/D Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/0007272/SelfSelectFund
50,Aegon AM Diversified Monthly Income Class B Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BJFLQY6/SelfSelectFund
57,Aegon AM Ethical Equity Class B Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B8FZHY8/SelfSelectFund
63,Aegon AM Global Sustainable Equity Class C Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BYZJ377/SelfSelectFund
69,Aegon AM Investment Grade Bond Class B Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B141C76/SelfSelectFund
75,Aegon AM Strategic Bond Class B Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B00MY36/SelfSelectFund
81,Aegon AM UK Smaller Companies Class B Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B142FS1/SelfSelectFund
87,Algebris Investments Algebris Financial Income Fund Class Id GBP Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BCZNX08/SelfSelectFund
93,Alliance Bernstein Concentrated US Equity Portfolio Class I Unhedged Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BMWWMG7/SelfSelectFund
99,Alliance Bernstein Sustainable Global Thematic Portfolio Class I Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BKC9H47/SelfSelectFund
105,Allianz Global Investors UK Best Styles Global AC Equity Class C Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BYQ91X8/SelfSelectFund
111,Allianz Global Investors UK Index-Linked Gilt Fund Class E Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BDD4M92/SelfSelectFund
117,Allianz Global Investors UK Strategic Bond Class C Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B06T936/SelfSelectFund
123,Allianz Global Investors UK UK Opportunities class O Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BYZQQN5/SelfSelectFund
129,Allspring (Lux) Worldwide Fund U.S. All Cap Growth Class Z Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B8FWGL9/SelfSelectFund
135,Alquity SICAV Global Impact Class Y Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BTJRGQ2/SelfSelectFund
141,Amati Global Investors WS Amati Strategic Metals Fund Class B Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BMD8NV6/SelfSelectFund
147,Amova Asset Management Amova Japan Value Fund Class D GBP Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BDD0LS2/SelfSelectFund
153,Amundi AFH - WORLD MOMENTUM ADVANCED Class AG Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BVDH5G5/SelfSelectFund
159,Amundi AFH - ebi Global Factor 80 Class RG Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BT3J9D2/SelfSelectFund
165,Amundi Amundi Global Corporate Bond 1-5Y ESG Class IHG Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BR2Q5L0/SelfSelectFund
171,Amundi Amundi Index MSCI USA SRI PAB Class IG Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BJBYNT3/SelfSelectFund
177,Amundi Euro Aggregate Corporate SRI Class IHG Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BKPV6B0/SelfSelectFund
183,Amundi US Corp SRI Class IHG Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BKPV6D2/SelfSelectFund
189,Arbrook Investors Limited Arbrook American Equities B2 Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BZ60K31/SelfSelectFund
195,Artemis High Income Class I Quarterly Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BJMD6R8/SelfSelectFund
201,Artemis Monthly Distribution Class I Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B6TK3R0/SelfSelectFund
207,Artemis SmartGARP European Equity Class I Hedged Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BR4TV19/SelfSelectFund
213,Artemis SmartGARP Global Emerging Markets Ex China Equity Class I Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BWK9895/SelfSelectFund
219,Artemis Strategic Bond Class I Monthly Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B2PLJS2/SelfSelectFund
225,Artemis UK Smaller Companies Class I Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BD3GTG4/SelfSelectFund
231,Artemis US Select Class I Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BWWZ2D3/SelfSelectFund
237,Ashmore SICAV Emerging Markets Short Duration Class Z Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BP4K8V7/SelfSelectFund
243,Atlantic House Uncorrelated Strategies Class A Hedged Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BNTJ5Q9/SelfSelectFund
249,Aviva Insured Funds Diversified Assets Fund 4 S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BLG34H4/SelfSelectFund
255,Aviva Insured Funds Investment Pathway 4 S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BKKZPG5/SelfSelectFund
261,Aviva Insured Funds Stewardship Managed S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BGGRYY8/SelfSelectFund
267,Aviva Insured Funds Universal 2029 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRDCMQ1/SelfSelectFund
273,Aviva Insured Funds Universal 2035 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRDCMX8/SelfSelectFund
279,Aviva Insured Funds Universal 2041 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRDCN35/SelfSelectFund
285,Aviva Insured Funds Universal 2047 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRDCN91/SelfSelectFund
291,Aviva Insured Funds Universal 2053 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRGT6B2/SelfSelectFund
297,Aviva Insured Funds Universal 2059 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRGT6J0/SelfSelectFund
303,Aviva Insured Funds Universal 2065 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRGT6Q7/SelfSelectFund
309,Aviva Insured Funds Universal 2071 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRGT6X4/SelfSelectFund
315,Aviva Insured Funds Universal 2077 Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRGT731/SelfSelectFund
321,Aviva Insured Funds Universal Retirement S14,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BRDCMJ4/SelfSelectFund
327,Aviva Investors Global High Yield Bond Fund Class Rmh Income,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BPDX1H4/SelfSelectFund
333,Aviva Investors ReturnPlus Fund Class Ryh Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BSHQLL4/SelfSelectFund
339,Aviva Investors UK Funds Global Equity Income Class 2 Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/3044209/SelfSelectFund
345,Aviva Investors UK Funds Multi-Asset Core II Class 2 Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/BMGWH13/SelfSelectFund
351,Aviva Investors UK Funds Multi-Manager 20-60% Shares Class 2 Accumulation,,https://www.direct.aviva.co.uk/wealth/FundChoice/SelfSelectFundsList/FundDetails/B1N94W0/SelfSelectFund
