name,isin,url
Amundi Core Stoxx Eurp 600 ETF Acc GBP,LU0908500753,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001SGE3/LU0908500753
Amundi Core UK Govt Bd ETF Dist,LU1407892592,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001912Y/LU1407892592
Amundi Core US Treasury Bond ETF Dist GBP,LU1931975319,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNU1/LU1931975319
Amundi Euro Stoxx 50 II ETF DH GBP Acc,FR0012399772,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00015DB9/FR0012399772
Amundi Glb Aggt Green Bd ETF GBP H Dist,LU1563455630,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001KK1G/LU1563455630
Amundi Glb AggtPrcds Bd 1-10Y ETFAcc GBP,LU1981859819,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001M7M0/LU1981859819
Amundi Glb AggtPrcdsBd 1-10YETFGBPHdgDis,LU1981860585,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001P5M8/LU1981860585
Amundi Global Gender Equality ETF Acc GBP,LU1691909508,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001T7PG/LU1691909508
Amundi Glb Govt Inf-Ld Bd 1-10Y ETF£HDis,LU1910940425,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001M7LB/LU1910940425
Amundi EUR Corporate Bond ESG ETF DR C GBP,LU1437018168,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J7P2/LU1437018168
FirstTrust Blmbrg ArtfclIntllgncETFAAcc GBP,IE000YIQZ0H6,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001WFRC/IE000YIQZ0H6
FirstTrustBlmbrgGlbSmcndctrSpplyChnETFA$ GBP,IE000KXTLDE2,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001UCQA/IE000KXTLDE2
First Trust Cloud Computing ETF A USD GBP,IE00BFD2H405,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001FETN/IE00BFD2H405
First Trust Dow Jones Internet ETF A USD GBP,IE00BG0SSC32,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001EHID/IE00BG0SSC32
First Trust Em Mkts AlphaDEX® ETF A Acc GBP,IE00B8X9NX34,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000YJKE/IE00B8X9NX34
First Trust Eurozone AlphaDEX® ETF A GBP,IE00B8X9NY41,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P000158RJ/IE00B8X9NY41
First Trust FactorFX ETF B GBP,IE00BD5HBR05,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CBYE/IE00BD5HBR05
First Trust Global Equity Income B USD GBP,IE00BD842Y21,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00018Y0V/IE00BD842Y21
First Trust Indxx Glb Arspc&DfncETFA$Acc GBP,IE000NVDQXE1,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001UCQB/IE000NVDQXE1
First Trust IndxxInnvtvTrsctn&PrcssETFA$ GBP,IE00BF5DXP42,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001D40O/IE00BF5DXP42
HSBC MSCI AC APACExJpnClmtPrsAlgndETFUSD GBP,IE000XFORJ80,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OTGG/IE000XFORJ80
HSBC MSCI AC FAR EAST ex JAPAN ETF GBP,IE00BBQ2W338,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000ZP0F/IE00BBQ2W338
HSBC MSCI Canada ETF GBP,IE00B51B7Z02,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000SJQA/IE00B51B7Z02
HSBC MSCI CHINA A UCITS ETF GBP,IE00BF4NQ904,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001E1HD/IE00BF4NQ904
HSBC MSCI China ETF GBP,IE00B44T3H88,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000SDWF/IE00B44T3H88
HSBC MSCI EM Clmt Paris Aligned ETF USD GBP,IE000FNVOB27,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OSOV/IE000FNVOB27
HSBC MSCI EM Islamic Scrn Cpd ETF USDAcc GBP,IE0009BC6K22,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001QD30/IE0009BC6K22
HSBC MSCI EM Sm Cap Scrn ETF USD Acc GBP,IE000W080FK3,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PZBS/IE000W080FK3
HSBC MSCI Emerg Mkts ETF GBP,IE00B5SSQT16,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000U0MM/IE00B5SSQT16
HSBC MSCI Em Mkts Val Scrn ETF USD Acc GBP,IE000NVVIF88,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PZBP/IE000NVVIF88
iShares $ Corp Bond ETF GBP H Dist,IE00BDFK3736,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CZ7I/IE00BDFK3736
iShares $ Corp Bond ETF USD Dist GBP,IE0032895942,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P000188OG/IE0032895942
iShares $ HY Corp Bd ESG SRI ETFGBPHDist,IE0003NVF3Y3,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001N9QL/IE0003NVF3Y3
iShares $ High Yld Corp Bd ETF GBPH Dist,IE00BDFJYL11,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CZ7G/IE00BDFJYL11
