name,isin,url
Fidelity European Trust Ord,GB00BK1PKQ95,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F0GBR04E70/GB00BK1PKQ95
Fidelity Special Values Ord,GB00BWXC7Y93,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F0GBR04E7U/GB00BWXC7Y93
Finsbury Growth & Income Ord,GB0007816068,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F0GBR053PE/GB0007816068
Foresight Environmental Infra Ord,GG00BJL5FH87,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F00000T0X0/GG00BJL5FH87
Global Opportunities Trust Ord,GB0033862573,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F000000EYD/GB0033862573
Gore Street Energy Storage Fund Ord,GB00BG0P0V73,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F000010CWU/GB00BG0P0V73
Greencoat UK Wind,GB00B8SC6K54,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/F00000PPTR/GB00B8SC6K54
Henderson Far East Income Ord,JE00B1GXH751,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/E0GBR00QXD/JE00B1GXH751
Henderson High Income Ord,GB0009580571,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/E0GBR00QXE/GB0009580571
Henderson Smaller Companies Ord,GB0009065060,https://www.direct.aviva.co.uk/wealth/InvestmentTrustSearch/InvestmentTrustDetails/E0GBR00J99/GB0009065060
